zivilo,energija_kcal,mascobe_g,ogljikovi_hidrati_g,proteini_g,Ca_mg,Fe_mg,Vitamin_C_mg,Kalij_mg,Natrij_mg,Cena_EUR,sladkor_g,vlaknine_g,nasicene_mascobe_g,Histidine_g,Isoleucine_g,Leucine_g,Lysine_g,Methionine_g,Phenylalanine_g,Threonine_g,Tryptophan_g,Valine_g
Ovseni_kosmici,369,6.1,64.0,15.5,54,4.7,0.0,354,286.0,0.11,1.0,10.6,1.2,0.25,0.4,0.7,0.6,0.2,0.3,0.3,0.1,0.4
Jabolko,52,0.17,13.81,0.26,6,0.12,4.6,107,1.0,0.15,10.0,2.4,0.03,0.02,0.03,0.05,0.04,0.01,0.03,0.02,0.03,0.03
Pomfri,93,12.0,21.55,1.96,5,0.35,12.8,391,241.0,0.1,0.0,3.0,3.0,0.05,0.07,0.12,0.1,0.04,0.06,0.05,0.02,0.07
Govedina,254,20.0,0.0,17.17,18,1.94,0.0,295,66.0,1.3,0.0,0.0,6.0,0.25,0.5,1.1,1.2,0.4,0.7,0.5,0.1,0.6
Svinjina,236,17.99,0.0,17.18,15,1.05,0.7,302,65.0,1.1,0.0,0.0,5.0,0.22,0.45,1.0,1.1,0.35,0.65,0.45,0.1,0.55
Piscanec,114,1.65,0.0,23.2,12,0.73,0.0,239,68.0,1.0,0.0,0.0,1.0,0.18,0.35,0.8,1.0,0.3,0.6,0.0,0.0,0.0
Mleko,60,3.25,4.52,3.22,113,0.03,0.0,113,40.0,0.1,5.0,0.0,1.9,0.05,0.1,0.2,0.3,0.1,0.15,0.1,0.03,0.15
Sir_edamec,357,27.8,1.43,24.99,731,0.44,0.0,188,965.0,0.7,0.5,0.0,15.0,0.3,0.5,1.0,1.2,0.3,0.5,0.4,0.05,0.6
Kruh_bel,266,3.64,47.51,10.91,142,3.46,0.2,184,521.0,0.17,5.0,2.7,1.2,0.1,0.15,0.25,0.2,0.05,0.1,0.1,0.03,0.15
Kruh_polnozrnat,247,3.35,41.29,12.95,107,2.43,0.0,248,472.0,0.3,4.0,7.0,1.0,0.12,0.18,0.3,0.25,0.06,0.12,0.12,0.04,0.18
Maslo,717,81.11,0.06,0.85,24,0.02,0.0,24,11.0,1.1,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skusa_soljena,305,25.1,0.0,18.5,66,1.4,0.0,520,4450.0,1.5,0.0,0.0,10.0,0.2,0.3,0.5,0.4,0.15,0.25,0.2,0.05,0.3
Losos,142,5.34,0.0,19.84,12,0.8,0.0,490,44.0,4.0,0.0,0.0,3.0,0.2,0.3,0.6,0.7,0.2,0.3,0.25,0.05,0.35
